grp,lon,lat,
shore,-79.79628767,43.300468,
shore,-79.80104917,43.32073367,
shore,-79.77251333,43.33636517,
shore,-79.720198,43.374558,
shore,-79.7091025,43.39133183,
shore,-79.69483483,43.4040545,
shore,-79.68532617,43.42544433,
shore,-79.66867983,43.44047183,
shore,-79.64569217,43.46242833,
shore,-79.617155,43.488419,
shore,-79.6155705,43.49303833,
shore,-79.6068495,43.49708083,
shore,-79.60209633,43.51497583,
shore,-79.6005145,43.533443,
shore,-79.5941725,43.5403675,
shore,-79.584659,43.5438295,
shore,-79.58228217,43.55248283,
shore,-79.56246167,43.5640195,
shore,-79.55770433,43.56401967,
shore,-79.54502,43.57440067,
shore,-79.5450215,43.580743,
shore,-79.541058,43.58650867,
shore,-79.5188565,43.58881617,
shore,-79.51172017,43.58823967,
shore,-79.5077565,43.592852,
shore,-79.49665733,43.6026515,
shore,-79.4839735,43.61763567,
shore,-79.48476533,43.613602,
shore,-79.4831795,43.6118735,
shore,-79.47763,43.61763583,
shore,-79.4728735,43.62397467,
shore,-79.4768385,43.6280075,
shore,-79.4609815,43.63664933,
shore,-79.44670783,43.6337695,
shore,-79.43560533,43.62858533,
shore,-79.4197465,43.6280095,
shore,-79.4102305,43.627434,
shore,-79.40388767,43.63261883,
shore,-79.39357983,43.636076,
shore,-79.37851333,43.63780467,
shore,-79.364241,43.64356517,
shore,-79.35710467,43.64702117,
shore,-79.35234483,43.63722883,
shore,-79.3499655,43.634349,
shore,-79.33807183,43.64241383,
shore,-79.33172867,43.64702183,
shore,-79.32538433,43.64529383,
shore,-79.31983433,43.65105367,
shore,-79.31745633,43.6562365,
shore,-79.31745717,43.66141933,
shore,-79.311112,43.655661,
shore,-79.30873317,43.65508483,
shore,-79.30873433,43.663147,
shore,-79.28097967,43.66948067,
shore,-79.25084933,43.69941283,
shore,-79.23102417,43.70516767,
shore,-79.22547433,43.71609933,
shore,-79.20565067,43.73565717,
shore,-79.18503317,43.7511835,
shore,-79.16758633,43.7586575,
shore,-79.15331167,43.75980767,
shore,-79.13427967,43.77475267,
shore,-79.1176265,43.79429133,
shore,-79.09462867,43.8121,
shore,-79.0954225,43.81956667,
shore,-79.0938365,43.82243783,
shore,-79.08749133,43.81726933,
shore,-79.08352583,43.81267433,
shore,-79.06924983,43.8115255,
shore,-79.0621115,43.80520683,
shore,-79.04228517,43.81669433,
shore,-79.0224575,43.816694,
shore,-79.01135383,43.82014017,
shore,-79.00104433,43.82760533,
shore,-78.98835433,43.828754,
shore,-78.9748715,43.83162483,
shore,-78.95583733,43.84425567,
shore,-78.942354,43.84769933,
shore,-78.93442317,43.85573567,
shore,-78.91935333,43.849995,
shore,-78.90983533,43.8465505,
shore,-78.90190417,43.84540217,
shore,-78.89476633,43.85401267,
shore,-78.88048917,43.85286433,
shore,-78.869385,43.84941983,
shore,-78.840832,43.85860267,
shore,-78.83369333,43.8586025,
shore,-78.825762,43.86606267,
shore,-78.8114855,43.8700795,
shore,-78.797208,43.86893117,
shore,-78.79720817,43.87237417,
shore,-78.78451767,43.86835683,
shore,-78.76072217,43.86778167,
shore,-78.739306,43.870076,
shore,-78.72026967,43.86663233,
shore,-78.70123333,43.873517,
shore,-78.69250833,43.87810683,
shore,-78.683783,43.8723685,
shore,-78.67902383,43.88212267,
shore,-78.67267867,43.88900667,
shore,-78.64174383,43.89302017,
shore,-78.6211205,43.89760767,
shore,-78.606049,43.89818067,
shore,-78.58542533,43.89588483,
shore,-78.57273383,43.8981785,
shore,-78.56321517,43.8941625,
shore,-78.54497133,43.896456,
shore,-78.50134367,43.90104117,
shore,-78.49103167,43.897599,
shore,-78.48230567,43.89530433,
shore,-78.47278683,43.89931833,
shore,-78.45454267,43.90677317,
shore,-78.43709083,43.91365333,
shore,-78.41805317,43.9136515,
shore,-78.393462,43.92397067,
shore,-78.37759683,43.93084883,
shore,-78.34903983,43.93199267,
shore,-78.334761,43.93887033,
shore,-78.30540983,43.94173333,
shore,-78.2927175,43.94230567,
shore,-78.28795817,43.9480365,
shore,-78.253054,43.95376383,
shore,-78.22132267,43.94974967,
shore,-78.2006975,43.956624,
shore,-78.180072,43.95547633,
shore,-78.16579283,43.95662067,
shore,-78.12850833,43.95833633,
shore,-78.107883,43.96177217,
shore,-78.09519017,43.96750017,
shore,-78.07377133,43.96520633,
shore,-78.0650445,43.96978833,
shore,-78.02617317,43.96749283,
shore,-78.011894,43.96405383,
shore,-77.99920117,43.96577167,
shore,-77.98016133,43.97608117,
shore,-77.97064167,43.97722583,
shore,-77.93573717,43.97034817,
shore,-77.90559117,43.97893733,
shore,-77.88575817,43.979508,
shore,-77.86909883,43.98237,
shore,-77.85799167,43.99153183,
shore,-77.846092,43.99267617,
shore,-77.82705183,44.0024085,
shore,-77.80245933,44.002978,
shore,-77.77945317,44.00812817,
shore,-77.75168717,44.0109875,
shore,-77.73978783,44.005834,
shore,-77.73344167,43.99896217,
shore,-77.730269,43.99438133,
shore,-77.72947617,43.9886545,
shore,-77.71598983,43.98922567,
shore,-77.70567667,43.98807883,
shore,-77.69139667,43.9932315,
shore,-77.67791,43.9972385,
shore,-77.68266967,44.0046825,
shore,-77.69377583,44.00525633,
shore,-77.70805567,44.0001045,
shore,-77.7159895,43.99437967,
shore,-77.71995583,43.9932345,
shore,-77.72392233,43.99838883,
shore,-77.7255085,44.0041145,
shore,-77.715195,44.00525867,
shore,-77.72709467,44.00869517,
shore,-77.74137417,44.01098667,
shore,-77.7413735,44.013849,
shore,-77.72947367,44.01728217,
shore,-77.72709317,44.02300567,
shore,-77.72392033,44.023005,
shore,-77.72312733,44.018426,
shore,-77.713607,44.023004,
shore,-77.72233367,44.02300483,
shore,-77.72074667,44.028156,
shore,-77.710433,44.03216083,
shore,-77.69774017,44.02929767,
shore,-77.682667,44.03215767,
shore,-77.67394067,44.03558983,
shore,-77.67235383,44.033301,
shore,-77.68108133,44.02528967,
shore,-77.6890145,44.020712,
shore,-77.68266883,44.01498683,
shore,-77.67870233,44.01040717,
shore,-77.669976,44.01384067,
shore,-77.67076817,44.02185467,
shore,-77.65410917,44.02070767,
shore,-77.634276,44.0207055,
shore,-77.62475617,44.02642817,
shore,-77.60730417,44.012116,
shore,-77.6112715,44.0069645,
shore,-77.58826683,43.99264683,
shore,-77.57398817,43.978327,
shore,-77.56050283,43.968587,
shore,-77.54701667,43.96744,
shore,-77.54146433,43.96170967,
shore,-77.53115117,43.96056283,
shore,-77.5263925,43.95139383,
shore,-77.51925333,43.94451583,
shore,-77.517667,43.94107683,
shore,-77.50656083,43.94107517,
shore,-77.4994215,43.93362267,
shore,-77.49545567,43.92960933,
shore,-77.4938695,43.923876,
shore,-77.46657783,43.92860583,
shore,-77.44706417,43.927311,
shore,-77.40898533,43.93475883,
shore,-77.37373283,43.94330333,
shore,-77.35900667,43.9485095,
shore,-77.33838067,43.94908017,
shore,-77.31616983,43.93589517,
shore,-77.29958933,43.91886483,
shore,-77.27730317,43.898046,
shore,-77.27968367,43.89231,
shore,-77.2657985,43.89580017,
shore,-77.25369883,43.89910567,
shore,-77.24358517,43.9041305,
shore,-77.22650733,43.89696683,
shore,-77.21302183,43.884775,
shore,-77.21815883,43.87932833,
shore,-77.22886467,43.87244117,
