SPC_SHORT,SPECIES,SPC
RbSme,109,121
TroPer,131,291
WhPer,132,301
EmShi,504,196
YePer,801,331
Walle,803,334
LaWhi,203,091
Cisco,202,093
FwDrum,134,371
SpotShi,508,201
BrBull,118,233
BlCra,610,319
WhiSucker,405,163
AmEel,124,251
Bluegill,605,314
Pumpkinseed,604,313
RoBass,601,311
LogPerch,707,343
DwScul,904,384
Rgoby,910,366
SlScul,902,382
LaTro,307,081
WhiBass,133,302
TessDarter,711,346
LongSucker,404,162
Alewife,106,061
ThrSpine,129,282
SeaLam,5,014
GizzSha,108,063
ChiSa,301,075
ComShi,505,198
JohnDar,706,341
SmBas,607,316
TnGob,911,367
AtSal,304,077
ShRed,418,171
LmBas,608,317
CoCar,402,186
Bloat,204,094
NoPik,113,131
